SubjectID,Loc,Axrms,Ayrms,Azrms,Gxrms,Gyrms,Gzrms,Power_Unsprung,Power_Sprung
1,Wrist,2.169845309,3.034679223,1.724730071,75.98766056,60.3117692,151.7325776,6.196353369,78.10010159
1,Wrist,3.127652682,4.033708388,3.437160197,141.6953436,61.42082906,174.5165855,18.89972302,108.538004
1,Wrist,3.55760001,3.377278598,4.169694005,54.1828514,33.42168724,40.76470991,8.281435113,7.895426585
1,Wrist,4.364211027,6.029482539,3.536935641,41.03984347,34.48623798,43.0456143,41.82443173,26.79777886
2,Wrist,1.56412643,4.159179775,1.092137083,48.82514925,66.90609424,148.2328077,6.434377403,75.20488474
2,Wrist,2.363680697,3.809413393,1.344981454,52.7034069,70.02185026,198.3764441,6.969954417,90.50663933
2,Wrist,5.185573503,3.317336555,3.456777988,39.2986357,47.9929844,62.69819131,21.91703057,29.99011943
2,Wrist,4.461089107,5.205432591,2.29106328,32.43482336,41.88755311,42.03026511,12.91363625,19.19455735
3,Wrist,0.997196656,1.687391693,1.31815665,29.37373983,36.36085332,61.93380923,1.503102663,28.37527046
3,Wrist,1.901933621,3.181035702,1.568880134,59.62788153,55.25275411,140.6313429,7.560244618,51.29346635
3,Wrist,3.940188759,3.351779993,3.727211936,35.03766332,57.84088148,36.72706689,15.07598391,7.757034772
3,Wrist,3.456099508,4.792140814,2.772479831,34.23434398,55.04698227,31.16938272,14.2589578,20.31750635
4,Wrist,2.149404811,3.391955331,2.335585397,34.42275335,47.54268257,43.1213846,2.408229734,34.05703081
4,Wrist,2.35001739,3.550716362,1.943004748,58.85235135,60.46970636,72.22079389,9.995140807,75.30599394
4,Wrist,3.956445717,4.354411754,4.414561467,46.37706603,57.46176703,40.41256582,14.51019632,8.887539124
4,Wrist,2.258165238,1.721644453,1.748946791,13.61947293,36.71365287,16.88938646,1.975635986,2.610535373
5,Wrist,1.465838443,2.913591275,1.607660882,27.80761644,49.7792207,94.12331873,2.875859756,23.35949363
5,Wrist,2.380617345,3.247380978,1.522020512,34.6228835,66.187347,157.8491878,38.33464893,37.27099005
5,Wrist,3.461094872,3.373889973,3.820554474,42.67534554,42.14330222,36.49585284,14.04062703,7.92037013
5,Wrist,4.810724015,3.591860709,2.590005567,33.6480147,48.48435875,40.22947953,17.8673945,14.7429187
6,Wrist,1.157243993,1.580543663,0.886106258,31.38606425,52.22901684,58.16438178,1.150967323,7.756560504
6,Wrist,2.073843216,1.742795191,1.292475837,54.28158283,67.56145486,100.1147175,3.822715057,10.88033587
